database_title,description,date_added,url,# Do not add other column labs to the right of the tags column. All unnamed columns containing data will be interpretted as tags.,tags,,,,,,,
Arab Barometer Wave VII,,3/24/23,https://www.arabbarometer.org/surveys/arab-barometer-wave-vii/#data_sets,,cross sectional,survey,barometer,MENA,,,,
American National Election Studies Time Series Cumulative Data File,,3/25/23,https://electionstudies.org/data-center/,,cross sectional,time series,election,United States,public opinion,,,
All Executive Orders since 1994,,4/5/23,https://www.federalregister.gov/presidential-documents/executive-orders,,United States,executive branch,President of the United States,Office of the Federal Register,National Archives,,,
Lexical Index of Electoral Democracy 6.0,,4/5/23,https://ps.au.dk/forskning/forskningsprojekter/dedere/datasets/,,democracy,index,Institut for Statskundskab,electoral democracy,,,,
Civil Liberty Dataset (CLD) 2.5,"The CLD includes indicators on fair trial, freedom of expression, freedom of assembly and association, freedom of religion, and freedom of movement and residence, and fair trail for all independent countries in the period 1975-2020 (version 2.5). In the creation of the CLD, only the actual practices of states and their agents have been taken into account in the assignment of scores.",4/5/23,https://ps.au.dk/forskning/forskningsprojekter/dedere/datasets/,,liberal democracy,Institut for Statskundskab,,,,,,
Subnational ideology and presidential vote estimates (v2022),"We provide new estimates of the ideological preferences and presidential voting behavior of Americans at the local level. We combine estimates of the ideology of about one million Americans based on 18 large-scale surveys between 2006-2021 with recent advances in opinion estimation to estimate the preferences of zipcode tabulation areas, states, counties, cities, subcounty units, school districts, congressional districts, and state legislative districts. We also aggregate presidential voting behavior to the level of these geographic units. These new estimates enable scholars to examine representation at a variety of geographic levels. (2022-11-01)",4/5/23,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/BQKU4M,,election,ideology,public opinion,,,,,
U.S. Presidents' Positions on Roll Call Votes,,4/5/23,https://www.poliscidata.com/presidents/indexPresRollCallRecords.php,,United States,executive branch,President of the United States,roll call votes,U.S. Congress,,,
Archigos,A Data Base on Leaders 1875 - 2004.,4/5/23,http://www.rochester.edu/college/faculty/hgoemans/data.htm,,cross sectional,time series,leadership,,,,,
Asian Barometer Survey,,4/5/23,https://www.asianbarometer.org/data?page=d10,,cross sectional,survey,barometer,Asia,,,,
Adjusted Interest Group Scores,,4/5/23,https://timgroseclose.com/adjusted-interest-group-scores,,U.S. Congress,interest groups,,,,,,
"China as an International Lender of Last Resort Dataset, Version 1.0",This dataset contains information on China’s international rescue lending operations in 22 countries between 2000 and 2021.,4/5/23,https://www.aiddata.org/data/china-as-an-international-lender-of-last-resort-dataset-version-1-0,,China,international relations,debt,development,People's Bank of China (PBOC),AidData,,
The 2020 Listening to Leaders Survey Aggregate Dataset,"This large-scale survey fielded in 2020 collects feedback from nearly 7,000 policymakers, practitioners and leaders in 141 low- and middle-income countries on development priorities, progress, and donor performance. It is used in the Listening to Leaders 2021 and Aid Reimagined reports.",4/5/23,https://www.aiddata.org/data/the-2020-listening-to-leaders-survey-aggregate-dataset,,leadership,development,survey,AidData,,,,
Chinese Global Public Diplomacy,Country year format data on China’s Global Public Diplomacy efforts,4/5/23,https://www.aiddata.org/data/chinas-global-public-diplomacy-dashboard-dataset-version-3,,China,time series,international relations,AidData,,,,
"AidData’s Global Chinese Development Finance Dataset, Version 2.0",Project level data on China’s Official Finance,4/5/23,https://www.aiddata.org/data/chinas-global-public-diplomacy-dashboard-dataset-version-3,,China,finance,development,AidData,,,,
Perceptions,Contains measures of how China is perceived by leaders in low- and middle-income countries,4/5/23,https://www.aiddata.org/data/chinas-global-public-diplomacy-dashboard-dataset-version-3,,China,leadership,AidData,,,,,
Confucius Institutes,Contains information on the operational status and location of individual Confucius Institutes,4/5/23,https://www.aiddata.org/data/chinas-global-public-diplomacy-dashboard-dataset-version-3,,China,Confucius Institutes,AidData,,,,,
"China’s Global Public Diplomacy Indicators Dataset, Version 1.6","This dataset provides a quantitative look into the global public diplomacy activities of the People’s Republic of China (PRC) via 9 indicators in the social, political, informational, and regulatory domains covering varying periods between 1999 and 2021.",4/5/23,https://www.aiddata.org/data/chinas-global-public-diplomacy-indicators-dataset-version-1-6,,China,AidData,international relations,,,,,
"Indian Development Finance Dataset, Version 1.0","This dataset contains 1,196 unique Indian development cooperation projects worth US$14.58 billion geocoded to over 4,000 locations in 169 countries between 2007 and 2014.",4/5/23,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0,,India,AidData,geocode,finance,development,,,
"China’s Public Diplomacy in South and Central Asia, Version 2.0","This dataset provides a look into Beijing’s efforts to cultivate economic, social, and network ties with 13 countries in South and Central Asia (SCA) over two decades, as featured in the Corridors of Power report.",4/5/23,https://www.aiddata.org/data/chinas-public-diplomacy-in-south-and-central-asia-version-2-0,,China,AidData,geocode,international relations,,,,
"Project Performance Database (PPD), Version 2.0","This dataset contains more than 20,000 unique project evaluations, including project ratings, from 12 bilateral and multilateral aid agencies from 1956 and 2016 in 183 recipient countries.",4/5/23,https://www.aiddata.org/data/project-performance-database-ppd-version-2-0,,AidData,development,aid,,,,,
"How China Lends Dataset, Version 1.0","This dataset contains information about 100 loan contracts between Chinese state-owned entities and government borrowers in 24 developing countries in Africa, Asia, Eastern Europe, Latin America, and Oceania.",4/5/23,https://www.aiddata.org/data/how-china-lends-dataset-version-1-0,,AidData,China,debt,international relations,,,,
Investing in Kenya's People: Valuing the Benefits of the U.S.-Kenya Relationship (V 1.0),This dataset consolidates data from multiple sources that quantify the financial flow of benefits from the U.S. to Kenya.,4/5/23,https://www.aiddata.org/data/investing-in-kenyas-people-valuing-the-benefits-of-the-u-s-kenya-relationship-v-1-0,,AidData,Kenya,United States,finance,foreign direct investment (FDI),,,
Counting the Costs City Data,"This dataset contains city data for five countries—Bolivia, Colombia, India, Malaysia, and Sweden—used in our Counting the Costs report to quantify the city-level costs for urban areas to achieve SDG11.",4/5/23,https://www.aiddata.org/data/counting-the-costs-city-data,,AidData,SDG11,Sustainable Development Goals (SDGs),,,,,
"AidData's Geocoded Global Chinese Official Finance Dataset, Version 1.1.1","This dataset geolocates Chinese Government-financed projects that were implemented between 2000-2014. It captures 3,485 projects worth $273.6 billion in total official financing. The dataset includes both Chinese aid and non-concessional official financing.",4/5/23,https://www.aiddata.org/data/geocoded-chinese-global-official-finance-dataset,,AidData,China,geocode,finance,GIS,,,
